Close,High,Low,Open,Volume
AACB,AACB,AACB,AACB,AACB
10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,250000
10.149999618530273,10.15999984741211,10.149999618530273,10.15999984741211,649700
10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,200
10.149999618530273,10.180000305175781,10.097000122070312,10.180000305175781,400400
10.140000343322754,10.180000305175781,10.140000343322754,10.154999732971191,18600
10.149999618530273,10.180000305175781,10.130999565124512,10.180000305175781,7400
10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0
10.1899995803833,10.1899995803833,10.180000305175781,10.180000305175781,6400
10.1899995803833,10.1899995803833,10.1899995803833,10.1899995803833,0
10.220000267028809,10.229999542236328,10.210000038146973,10.210000038146973,4853
